file,content.length,instruction,count,percentage
scale_vector_neon_gcc_O3.s,213,@,5,3.21%
scale_optimized_scalar_fixed_point.s,269,@,7,3.17%
scale_optimized_scalar_floating_point.s,286,@,7,2.89%
scale_naive.s,288,@,7,2.87%
scale_vector_emu_fixed_point.s,359,@,6,2.01%
scale_vector_neon.s,362,@,6,1.97%
scale.s,362,@,6,1.97%
scale_vector_emu_floating_point.s,379,@,6,1.86%
scale_scalar_fixed_point.s,431,@,6,1.57%
scale_optimized_scalar_fixed_point.s,269,add,17,7.69%
scale_vector_neon_gcc_O3.s,213,add,12,7.69%
scale_naive.s,288,add,17,6.97%
scale_vector_emu_fixed_point.s,359,add,19,6.38%
scale_vector_emu_floating_point.s,379,add,19,5.90%
scale_optimized_scalar_floating_point.s,286,add,14,5.79%
scale_vector_neon.s,362,add,17,5.59%
scale.s,362,add,17,5.59%
scale_scalar_fixed_point.s,431,add,40,10.44%
scale_vector_neon_gcc_O3.s,213,asr,3,1.92%
scale_vector_emu_fixed_point.s,359,asr,3,1.01%
scale_vector_neon.s,362,asr,3,0.99%
scale.s,362,asr,3,0.99%
scale_optimized_scalar_fixed_point.s,269,b,4,1.81%
scale_optimized_scalar_floating_point.s,286,b,4,1.65%
scale_naive.s,288,b,4,1.64%
scale_vector_emu_fixed_point.s,359,b,4,1.34%
scale_vector_neon.s,362,b,4,1.32%
scale.s,362,b,4,1.32%
scale_vector_emu_floating_point.s,379,b,4,1.24%
scale_scalar_fixed_point.s,431,b,4,1.04%
scale_vector_neon_gcc_O3.s,213,b,1,0.64%
scale_naive.s,288,bcc,2,0.82%
scale_vector_neon_gcc_O3.s,213,bcc,1,0.64%
scale_vector_emu_floating_point.s,379,bcc,2,0.62%
scale_vector_neon_gcc_O3.s,213,beq,4,2.56%
scale_vector_emu_fixed_point.s,359,beq,2,0.67%
scale_vector_neon.s,362,beq,2,0.66%
scale.s,362,beq,2,0.66%
scale_vector_emu_floating_point.s,379,beq,2,0.62%
scale_optimized_scalar_fixed_point.s,269,beq,1,0.45%
scale_naive.s,288,beq,1,0.41%
scale_optimized_scalar_floating_point.s,286,beq,1,0.41%
scale_scalar_fixed_point.s,431,beq,1,0.26%
scale_vector_emu_fixed_point.s,359,bhi,2,0.67%
scale_vector_neon.s,362,bhi,2,0.66%
scale.s,362,bhi,2,0.66%
scale_vector_neon_gcc_O3.s,213,bhi,1,0.64%
scale_vector_neon_gcc_O3.s,213,bl,9,5.77%
scale_optimized_scalar_fixed_point.s,269,bl,8,3.62%
scale_optimized_scalar_floating_point.s,286,bl,8,3.31%
scale_naive.s,288,bl,8,3.28%
scale_vector_emu_fixed_point.s,359,bl,9,3.02%
scale_vector_neon.s,362,bl,9,2.96%
scale.s,362,bl,9,2.96%
scale_vector_emu_floating_point.s,379,bl,9,2.80%
scale_scalar_fixed_point.s,431,bl,8,2.09%
scale_optimized_scalar_fixed_point.s,269,bne,3,1.36%
scale_optimized_scalar_floating_point.s,286,bne,3,1.24%
scale_scalar_fixed_point.s,431,bne,3,0.78%
scale_vector_neon_gcc_O3.s,213,bne,1,0.64%
scale_naive.s,288,bne,1,0.41%
scale_vector_emu_fixed_point.s,359,bne,1,0.34%
scale_vector_neon.s,362,bne,1,0.33%
scale.s,362,bne,1,0.33%
scale_vector_emu_floating_point.s,379,bne,1,0.31%
scale_optimized_scalar_fixed_point.s,269,bx,1,0.45%
scale_naive.s,288,bx,1,0.41%
scale_optimized_scalar_floating_point.s,286,bx,1,0.41%
scale_vector_neon_gcc_O3.s,213,cmp,5,3.21%
scale_optimized_scalar_fixed_point.s,269,cmp,4,1.81%
scale_optimized_scalar_floating_point.s,286,cmp,4,1.65%
scale_naive.s,288,cmp,4,1.64%
scale_vector_emu_fixed_point.s,359,cmp,4,1.34%
scale_vector_neon.s,362,cmp,4,1.32%
scale.s,362,cmp,4,1.32%
scale_vector_emu_floating_point.s,379,cmp,4,1.24%
scale_scalar_fixed_point.s,431,cmp,4,1.04%
scale_vector_neon_gcc_O3.s,213,eors,1,0.64%
scale_vector_emu_fixed_point.s,359,eors,1,0.34%
scale_vector_neon.s,362,eors,1,0.33%
scale.s,362,eors,1,0.33%
scale_vector_emu_floating_point.s,379,eors,1,0.31%
scale_vector_emu_fixed_point.s,359,ldr,108,36.24%
scale_optimized_scalar_fixed_point.s,269,ldr,79,35.75%
scale_optimized_scalar_floating_point.s,286,ldr,66,27.27%
scale_naive.s,288,ldr,60,24.59%
scale_vector_neon.s,362,ldr,74,24.34%
scale.s,362,ldr,74,24.34%
scale_vector_emu_floating_point.s,379,ldr,75,23.29%
scale_scalar_fixed_point.s,431,ldr,79,20.63%
scale_vector_neon_gcc_O3.s,213,ldr,19,12.18%
scale_naive.s,288,ldrb,9,3.69%
